tweet_id,user_id,created_at,text,name,screen_name,followers_count,friends_count,favourites_count,location,cln_txt
1.19837e+18,423957486.0,Sat Nov 23 22:55:53 +0000 2019,https://t.co/Y6wz4Bcpn0 @ Flawless Boxing &amp; Fitness https://t.co/Nyzo700CCd,Flawless Boxing,B_Flawless_,980.0,177.0,211.0,Sacramento Ca  #teamflawless,flawless boxing amp fitness
1.19837e+18,100505897.0,Sat Nov 23 22:55:53 +0000 2019,That’s one of my favorite plays,Dan Biles,dan_biles,1144.0,1232.0,475.0,"New Port Richey, FL",one favorite plays
1.19837e+18,1274049030.0,Sat Nov 23 22:55:53 +0000 2019,😂😂,Elijah Young ²,elijahyoung52,2511.0,893.0,6064.0,"Knoxville, TN",
1.19837e+18,107072166.0,Sat Nov 23 22:55:53 +0000 2019,https://t.co/rGast8adSe,MissLadybug,missladybug14,100.0,563.0,53.0,JACKSONVILLE FLA,
1.19837e+18,179133131.0,Sat Nov 23 22:55:53 +0000 2019,https://t.co/hX5GJziOr0,suga daddy slim,joshua23hgff,350.0,3417.0,4338.0,"lexington kentucky
",
1.19837e+18,112955558.0,Sat Nov 23 22:55:53 +0000 2019,"Want to work at Wells Fargo? We're hiring in #Minneapolis, MN! Click for details: https://t.co/GrK1YEwEAn #IT",TMJ-MN IT Jobs,tmj_MN_it,345.0,280.0,0.0,Minnesota,want work wells fargo hiring minneapolis mn click details
1.19837e+18,94459065.0,Sat Nov 23 22:55:54 +0000 2019,@Living49rLegend @49ersBreezie @YacovoneRick Haha true!,Louie,Louiee_v,248.0,189.0,712.0,"Phoenix, AZ ",livingrlegend haha true
1.19837e+18,1869909973.0,Sat Nov 23 22:55:53 +0000 2019,🦋 https://t.co/K3o6A1fvx8,Hannabelle,__Hannnahlee,719.0,637.0,13589.0,Northeastern State University,
1.19837e+18,9.95119e+17,Sat Nov 23 22:55:54 +0000 2019,Fuckkkk alternative school 🖕🏽,C E S A R び,ebkcesar,5.0,32.0,39.0,"Los Angeles, CA",alternative school
1.19837e+18,8.46539e+17,Sat Nov 23 22:55:54 +0000 2019,Marshall @ UNC Charlotte in the pouring rain https://t.co/NgbZ2ylSER,Hayden C. Bannick,hcbannick_25,217.0,760.0,6962.0,"Conway, SC",unc charlotte pouring rain
1.19837e+18,340432732.0,Sat Nov 23 22:55:54 +0000 2019,"@itskenzie_k Marylands
Jcs
Tays
Btj
King deli",Ωreamy Nap 🤲🏾👅💦,NapTheQue,2877.0,2065.0,8773.0,The 9️⃣,deli
1.19837e+18,379107462.0,Sat Nov 23 22:55:54 +0000 2019,https://t.co/9uoAwrNwrS,Margy Otiato,OtiatoM,251.0,460.0,2654.0,"South Orange, NJ",
1.19837e+18,2765874663.0,Sat Nov 23 22:55:54 +0000 2019,"@a_screenplay True that. If anyone says ""if I go down, they go down with me"" you already know all parties are guilt… https://t.co/muGx1am2qT",Lisa Anderson,ladymaree85,94.0,106.0,4436.0,"Bronx, NY",true anyone says go go already know parties
1.19837e+18,118869818.0,Sat Nov 23 22:55:54 +0000 2019,@MarcelinMarshal @RightMan1973 @Pipe_Mon_O @chechohirane @melnicksergio @carreragonzalo @tere_marinovic… https://t.co/avNMLMJUCK,Ivan Carrasco,ivancarrascoq,302.0,604.0,6952.0,"Rogers Park, Chicago",marcelinmarshal
1.19837e+18,46779328.0,Sat Nov 23 22:55:54 +0000 2019,@EssentialBron @Ceralion73 @imcorinnemec Like hot buttered Corky..should I say yum yum?,Jodi ~💕 HeresURTrouble💕,CrabbyPattie4u,397.0,580.0,95106.0,"Bummphukd,Ks",essentialbron like hot buttered say yum yum
1.19837e+18,280670130.0,Sat Nov 23 22:55:54 +0000 2019,"Don’t matter how you cook it up sis, I’m way more RAW den you❗️🔥#somepressure @ Orlando, Florida https://t.co/odfYVTjlM9",Dolce & Kavanna,K_theDoll101,430.0,390.0,3078.0,Fort Myers,matter cook sis way raw den orlando florida
1.19837e+18,159946899.0,Sat Nov 23 22:55:54 +0000 2019,"@ChecoRiojas @ChelseaFC @kiqueriojas @ManCity cálmate, Riojas",Fernando Castillo,fcastillob,320.0,1215.0,5806.0,"ask @google, knows everything",checoriojas riojas
1.19837e+18,28356613.0,Sat Nov 23 22:55:54 +0000 2019,Toronto is getting an entire cafe dedicated to unicorns https://t.co/NxcXN4gseW from blogto. #FeelTheDifference… https://t.co/cyblZezFZ2,Cori Endrody,Cori_the_Agent,2321.0,3124.0,96.0,"Toronto, Ontario",getting entire cafe dedicated unicorns blogto
1.19837e+18,1.14568e+18,Sat Nov 23 22:55:55 +0000 2019,😭 y’all play,Ke 💗,_SimplyyKe_,260.0,257.0,4907.0,302,play
1.19837e+18,207346995.0,Sat Nov 23 22:55:55 +0000 2019,"Can we please stop with the “[fill in name of city or food here] Fest”???
Say “Festival” or come up with something… https://t.co/6YTqFatvAV",Sarah Romero is Tweeting,iHeartDates,1287.0,1660.0,6244.0,"Coachella Valley, CA",please stop fill name city food festival come
1.19837e+18,54800758.0,Sat Nov 23 22:55:55 +0000 2019,@avoidingsociety Start sewing,🅱🅴🅽🅽🆈 ▪️🔜 PAXUnplugged2019,bennythejet55,379.0,642.0,30240.0,Cleveland / Philadelphia,avoidingsociety start sewing
